Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
MJXAAT0	wshpr	53BSR211	Microsoft Windows 7 Professional x64	211	9/20/2016 15:45	LENOVO	4524A61	AD\wshpr	6/16/2011 0:00	6/15/2015 0:00	abcohen	Shared		211
MJTMZGX	abello	QST-WD-0250	Microsoft Windows 7 Professional x64	133	11/16/2015 12:10	LENOVO	3212AV7	QST-WD-0250\istds-admin	9/17/2012 0:00	9/7/2016 0:00	abello	Secondary		133
MJYWGX6	mmacgarv	SMG518B	Microsoft Windows 7 Professional x64		10/1/2016 18:56	LENOVO	4524A61	AD\mmacgarv	7/2/2011 0:00	7/1/2015 0:00	mmacgarv	Primary		
R9KPYMC	qstcloud	QST-WL-0052	Microsoft Windows 7 Enterprise x64	340 E	9/30/2016 13:25	LENOVO	4243VKK	AD\qstcloud	12/31/2011 0:00	12/30/2015 0:00	cbarrett	Loaner		340 E
MJAHCAG	ccullati	SMG502B-1	Microsoft Windows 7 Professional x64		9/30/2016 17:13	LENOVO	4158VG3	AD\ccullati	8/13/2011 0:00	8/12/2015 0:00	ccullati	Primary		
C02L428KF6T6	nelee	SMG343AMACLT-1	Mac OS X 10.11.4 (x86_64)		10/1/2016 15:37	"Apple, Inc."	"MacBookAir6,2"		7/24/2013 0:00	7/23/2016 0:00	nelee	Primary		
2UA05023JY	efk	SMG629-9	Microsoft Windows 7 Professional x64		9/30/2016 16:50	Hewlett-Packard	HP Z200 Workstation	AD\efk	12/21/2010 0:00	1/24/2016 0:00	efk	Primary		
2CE930BCRN	williams	SMG572LT-2	Microsoft Windows 7 Professional		7/18/2016 13:55	Hewlett-Packard	HP EliteBook 6930p	AD\williams	8/4/2014 0:00	8/10/2013 0:00	williams	Secondary		
R8M3YZG	smguser	SMGLOANERLT-10	Microsoft Windows 7 Professional x64	340	5/3/2015 18:52	LENOVO	4236GG9	AD\smguser	7/10/2011 0:00	7/9/2015 0:00	cbarrett	loaner		340
MJPBXNE	questromgpows	QST-WD-0268	Microsoft Windows 7 Enterprise x64	104	11/16/2015 15:11	LENOVO	4524AY5	AD\questromgpows	7/5/2012 0:00	6/25/2016 0:00	normanb	Shared		104
D25Q51HGFY11	edasi	QST-MD-0109	Mac OS X 10.11.6 (x86_64)	510D	9/30/2016 15:24	"Apple, Inc."	"iMac15,1"		4/8/2011 0:00	4/7/2014 0:00	tvellner	Primary		510D
2UA1020JLH	rbaird8	SMG553-1	Microsoft Windows 7 Professional		7/5/2016 14:38	Hewlett-Packard	HP Z200 Workstation	AD\rbaird8	1/13/2011 0:00	2/11/2016 0:00	rbaird8	Secondary		
MJWZXEO	conroyrm	SMG630D-3	Microsoft Windows 8 Enterprise x64	630 D	10/1/2016 19:58	LENOVO	4524A61	AD\conroyrm	6/6/2011 0:00	6/15/2015 0:00	gdefronz	Shared		630 D
R8M3YZF	smgcloud	SMGLOANERLT-14	Microsoft Windows 7 Enterprise x64	340	7/7/2015 15:31	LENOVO	4236GG9	AD\smgcloud	7/10/2011 0:00	7/9/2015 0:00	cbarrett	Loaner		340
MJPBXMZ	ali1	SMG616A-1	Microsoft Windows 7 Enterprise x64		8/27/2015 14:45	LENOVO	4524AY5	AD\ali1	7/5/2012 0:00	6/25/2016 0:00	rcovino	Reserve		
C02KVFLZF6T6	mbda	QST-ML-0220	Mac OS X 10.11.6 (x86_64)		9/5/2016 14:25	"Apple, Inc."	"MacBookAir6,2"		6/30/2013 0:00	6/29/2016 0:00	mbda	Secondary		
R9PD3AW	smgcloud	SMGLOANERLT-24	Microsoft Windows 7 Enterprise x64	340	9/7/2015 22:16	LENOVO	4174GD4	AD\smgcloud	6/21/2012 0:00	6/11/2016 0:00	cbarrett	Loaner		340
LR1H5RE	kesslerr	SMG326LT-42	Microsoft Windows 7 Professional x64	340 E	3/2/2016 3:14	LENOVO	05962RU	AD\kesslerr	11/30/2011 0:00	11/29/2012 0:00	cbarrett	Loaner		340 E
MJAPNMP	qstblab	QST-BSR-WD-0009	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	10/1/2016 18:05	LENOVO	5032A47	AD\qstblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
PK0P9T2	qstblab	QST-BSR-WL-0003	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	10/1/2016 18:42	LENOVO	2355BE3	AD\qstblab	8/27/2013 0:00	8/26/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
D25FN0U9DHJV	istds-admin	QST-MD-0004	Mac OS X 10.11.6 (x86_64)	509	10/1/2016 19:38	"Apple, Inc."	"iMac12,2"		5/6/2011 0:00	5/5/2014 0:00	gdefronz	Shared		509
MJ49E1M	munsell	SMG642-1	Microsoft Windows 7 Enterprise x64		9/30/2016 15:58	LENOVO	3212BJ7	AD\munsell	8/3/2013 0:00	7/23/2017 0:00	munsell	Primary		
2UA8291Q32	sogut	SMG664-1	Microsoft Windows 7 Enterprise x64	644	9/22/2016 20:21	Hewlett-Packard	HP xw4600 Workstation	AD\sogut	7/23/2008 0:00	8/26/2013 0:00	bickart	Shared		644
MJRLVLT	dkurt	SMG611-1	Microsoft Windows 7 Professional x64		10/1/2016 18:20	LENOVO	3212AV7	AD\dkurt	8/21/2012 0:00	8/11/2016 0:00	dkurt	Primary		
PK0CP7M	qstcloud	SMGLOANERLT-26	Microsoft Windows 7 Enterprise x64	340	9/30/2016 22:25	LENOVO	2355BE3	AD\qstcloud	8/12/2013 0:00	8/11/2017 0:00	cbarrett	Loaner		340
2CE930BCRP	jhibbard	QST-WL-0061	Microsoft Windows 7 Professional x64	340 E	12/15/2015 9:59	Hewlett-Packard	HP EliteBook 6930p	AD\jhibbard	8/4/2014 0:00	8/10/2013 0:00	cbarrett	Loaner		340 E
R9F4355	qstcloud	QST-WL-0049	Microsoft Windows 7 Professional x64	340 E	5/10/2016 0:16	LENOVO	4243C13	AD\qstcloud	7/29/2011 0:00	8/7/2015 0:00	cbarrett	Loaner		340 E
R8M3YZD	qstcloud	SMGLOANERLT-11	Microsoft Windows 7 Professional x64	340	7/14/2016 10:08	LENOVO	4236GG9	AD\qstcloud	7/10/2011 0:00	7/9/2015 0:00	cbarrett	Loaner		340
2UA05023JV	Steve	SMG629-10	Microsoft Windows 8.1 Pro x64		10/16/2015 14:40	Hewlett-Packard	HP Z200 Workstation	SMG629-10\Steve	12/21/2010 0:00	1/24/2016 0:00	stevexyc	Primary		
R9PDDV6	smguser	SMGLOANERLT-20	Microsoft Windows 7 Enterprise x64	340	9/23/2016 16:55	LENOVO	4243FW3	AD\smguser	6/10/2012 0:00	6/10/2016 0:00	cbarrett	Loaner		340
MJ86WT7	pstation	QST-WK-0004	Microsoft Windows 10 Enterprise x64	427	10/1/2016 19:47	LENOVO	3212BJ7	AD\pstation	10/28/2013 0:00	10/17/2017 0:00	gdefronz	Kiosk		427
R9E77XG	qstcloud	QST-WL-0050	Microsoft Windows 7 Enterprise x64	340 E	10/1/2016 16:43	LENOVO	4174BW7	AD\qstcloud	6/15/2011 0:00	6/24/2015 0:00	cbarrett	Loaner		340 E
67822334153	Gmeri	QST-WL-0241	Microsoft Windows 10 Pro x64	615B	10/1/2016 19:32	Microsoft Corporation	Surface Pro 2	.\Gmeri	1/16/2014 0:00	1/15/2015 0:00	kericson	Secondary		615B
