Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
3RZZQF1	kkchang	SMG626-1	Microsoft Windows 7 Professional	626	5/28/2016 18:29	Dell Inc.	OptiPlex 755	AD\erinreid	2/27/2009 0:00	2/27/2013 0:00	mcpereir	Shared		626
2UA8500SXR	kmenon	SMG518H-1	Microsoft Windows 7 Professional		5/28/2016 19:11	Hewlett-Packard	HP xw4600 Workstation	AD\kmenon	12/12/2008 0:00	1/5/2014 0:00	kmenon	Primary		
MJAPNMK	smgblab	QST-BSR-WD-0006	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:24	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
PK0P9RZ	smgblab	QST-BSR-WL-0004	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	5/12/2016 0:34	LENOVO	2355BE3	AD\smgblab	8/27/2013 0:00	8/26/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJ761YT	mdc	QST-WD-0024	Microsoft Windows 7 Professional x64	328	7/20/2015 10:15	LENOVO	36901K3	AD\mdc	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		328
PK0P9VL	smgblab	QST-BSR-WL-0001	Microsoft Windows 7 Enterprise x64	143 Bay  State Road - Basement	5/28/2016 18:58	LENOVO	2355BE3	AD\smgblab	8/27/2013 0:00	8/26/2017 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJWZXE2	halford	QST-WD-0237	Microsoft Windows 7 Professional x64	627	8/27/2015 10:40	LENOVO	4524A61	AD\halford	6/16/2011 0:00	6/15/2015 0:00	halford	Primary		627
MJZDFD3	kfab	QST-WD-0221	Microsoft Windows 7 Professional x64	651A	4/15/2016 2:29	LENOVO	4158VFU	AD\kfab	7/25/2011 0:00	8/3/2014 0:00	kfab	Secondary		651A
MJZRBCT	cmnigro	QST-WD-0284	Microsoft Windows 7 Enterprise x64		5/17/2016 9:41	LENOVO	3212BJ7	AD\cmnigro	1/21/2013 0:00	1/11/2017 0:00	cmnigro	Primary		
MJYWGX5	menezes	SMG617	Microsoft Windows 7 Professional x64		5/28/2016 19:34	LENOVO	4524A61	AD\menezes	7/2/2011 0:00	7/1/2015 0:00	menezes	Primary		
MJ762BB	lshanor	QST-WD-0050	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:14	LENOVO	36901K3	AD\aydoganm	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJAPNML	smgblab	QST-BSR-WD-0004	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:35	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAPNNB	smgblab	QST-BSR-WD-0005	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 4:21	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
2UA8291Q3Y	abwaters	SMG610-2	Microsoft Windows 7 Professional		5/28/2016 18:34	Hewlett-Packard	HP xw4600 Workstation	AD\abwaters	7/23/2008 0:00	8/26/2013 0:00	curtisja	Primary		
MJ762AT	Administrator	QST-WD-0342	Microsoft Windows 10 Enterprise x64	636A	5/13/2016 18:46	LENOVO	36901K3	.\istds-admin	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA05023K0	carla	SMG629-1	Microsoft Windows 7 Professional x64		4/19/2016 0:06	Hewlett-Packard	HP Z200 Workstation	AD\carla	12/21/2010 0:00	1/24/2016 0:00	caguilar	Primary		
MJ762CE	awaye	QST-WD-0044	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:46	LENOVO	36901K3	AD\hsk29	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
FQZZQF1	smgaccws	SMG520F-1	Microsoft Windows 7 Professional	520 F	5/28/2016 19:17	Dell Inc.	OptiPlex 755	AD\smgaccws	2/27/2009 0:00	2/27/2013 0:00	jmcgill	Shared		520 F
1807PC1	jovied	SMG630A-3	Microsoft Windows 8.1 Pro		9/22/2015 14:59	Dell Inc.	OptiPlex 745	AD\mlynd	3/14/2008 0:00	3/15/2011 0:00	firefox	Secondary		
2UA0350JM5	guinther	SMG638A-4	Microsoft Windows 7 Professional		4/23/2016 10:12	Hewlett-Packard	HP Z200 Workstation	AD\guinther	12/21/2010 0:00	1/24/2016 0:00	jovied	Primary		
8J9KLF1	ren	SMG655-4	Microsoft Windows 7 Professional	655	2/11/2016 0:19	Dell Inc.	OptiPlex 755	AD\ren	2/7/2009 0:00	2/7/2013 0:00	ren	Primary		655
MJ761YL	firefox	SMG630A-2	Microsoft Windows 7 Professional x64	328	5/28/2016 19:07	LENOVO	36901K3	AD\firefox	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Computer Lab		328
2UA1191C57	jhibbard	QST-WD-0238	Microsoft Windows 7 Professional x64	Room 602	5/28/2016 19:10	Hewlett-Packard	HP Z200 Workstation	AD\jhibbard	5/13/2011 0:00	6/16/2016 0:00	jhibbard	Primary		Room 602
